iter	Passed	Remaining
951	27274	1375
952	27295	1346
953	27309	1316
954	27328	1287
955	27342	1258
956	27363	1229
957	27395	1201
958	27426	1172
959	27461	1144
960	27486	1115
961	27512	1086
962	27543	1058
963	27570	1029
964	27603	1001
965	27634	972
966	27661	943
967	27691	915
968	27716	886
969	27742	858
970	27771	829
971	27800	800
972	27826	772
973	27860	743
974	27887	715
975	27916	686
976	27946	657
977	27976	629
978	28002	600
979	28036	572
980	28056	543
981	28084	514
982	28106	486
983	28128	457
984	28144	428
985	28159	399
986	28173	371
987	28185	342
988	28198	313
989	28209	284
990	28222	256
991	28233	227
992	28244	199
993	28256	170
994	28268	142
995	28280	113
996	28290	85
997	28300	56
998	28312	28
999	28322	0
27798	0
